,Content ID,Reaction Type,Datetime,Category,Score,Content Type,Sentiment,,,Datetime,Month,countpostbymonth,,Sentiment,,,,,,,,,,,,,,
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,studying,20,photo,neutral,,,07-11-2020,11,2034,,,,,science,71168,1796,,10,2056,,photo,6589,3700,2057,832
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,studying,15,photo,negative,,,02-11-2020,11,2034,,,,,soccer,57783,1457,,11,2034,,video,6245,3510,1943,792
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,studying,30,photo,positive,,,01-11-2020,11,2034,,,,,studying,54269,1363,,12,2092,,,,,,
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,studying,5,photo,negative,,,07-10-2020,10,2056,,,,,technology,68738,1698,,(blank),,,,,,,
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,studying,15,photo,negative,,,03-09-2020,9,2022,,,,,tennis,50339,1328,,,,,,,,,
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,studying,75,photo,positive,,,24-02-2021,2,1914,,,,,travel,64880,1647,,,,,,,,,
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,studying,35,photo,neutral,,,23-09-2020,9,2022,,,,,veganism,49619,1248,,,,,,,,,
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,studying,20,photo,neutral,,,24-02-2021,2,1914,,,,,,,,,,,,,,,,
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,studying,30,photo,positive,,,22-05-2021,5,2138,,,,,,,,,,,,,,,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,studying,45,photo,positive,,,31-01-2021,1,2126,,,,,,,,,,,,,,,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,studying,35,photo,neutral,,,20-11-2020,11,2034,,,,,,,,,,,,,,,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,studying,12,photo,negative,,,11-04-2021,4,1974,,,,,,,,,,,,,,,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,studying,50,photo,positive,,,13-06-2021,6,2021,,,,,,,,,,,,,,,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,studying,60,photo,positive,,,11-04-2021,4,1974,,,,,,,,,,,,,,,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,studying,12,photo,negative,,,02-03-2021,3,2012,,,,,,,,,,,,,,,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,studying,5,photo,negative,,,27-06-2020,6,2021,,,,,,,,,,,,,,,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,studying,5,photo,negative,,,09-05-2021,5,2138,,,,,,,,,,,,,,,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,studying,70,photo,positive,,,04-08-2020,8,2114,,,,,,,,,,,,,,,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,studying,75,photo,positive,,,28-08-2020,8,2114,,,,,,,,,,,,,,,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,studying,45,photo,positive,,,25-08-2020,8,2114,,,,,,,,,,,,,,,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,studying,15,photo,negative,,,20-04-2021,4,1974,,,,,,,,,,,,,,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,studying,30,photo,positive,,,07-03-2021,3,2012,,,,,,,,,,,,,,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,studying,20,photo,neutral,,,24-05-2021,5,2138,,,,,,,,,,,,,,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,studying,75,photo,positive,,,24-01-2021,1,2126,,,,,,,,,,,,,,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,studying,0,photo,negative,,,09-04-2021,4,1974,,,,,,,,,,,,,,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,studying,75,photo,positive,,,02-02-2021,2,1914,,,,,,,,,,,,,,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,studying,30,photo,positive,,,04-02-2021,2,1914,,,,,,,,,,,,,,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,studying,10,photo,negative,,,09-11-2020,11,2034,,,,,,,,,,,,,,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,studying,15,photo,negative,,,29-09-2020,9,2022,,,,,,,,,,,,,,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,studying,10,photo,negative,,,29-11-2020,11,2034,,,,,,,,,,,,,,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,studying,70,photo,positive,,,13-02-2021,2,1914,,,,,,,,,,,,,,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,studying,30,photo,positive,,,14-07-2020,7,2070,,,,,,,,,,,,,,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,studying,20,photo,neutral,,,23-08-2020,8,2114,,,,,,,,,,,,,,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,studying,12,photo,negative,,,10-05-2021,5,2138,,,,,,,,,,,,,,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,studying,5,photo,negative,,,15-03-2021,3,2012,,,,,,,,,,,,,,,,
45,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,healthy eating,10,photo,negative,,,25-06-2020,6,2021,,,,,,,,,,,,,,,,
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,healthy eating,45,photo,positive,,,13-09-2020,9,2022,,,,,,,,,,,,,,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,healthy eating,35,photo,neutral,,,20-08-2020,8,2114,,,,,,,,,,,,,,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,healthy eating,15,photo,negative,,,11-02-2021,2,1914,,,,,,,,,,,,,,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,healthy eating,5,photo,negative,,,08-03-2021,3,2012,,,,,,,,,,,,,,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,healthy eating,0,photo,negative,,,28-03-2021,3,2012,,,,,,,,,,,,,,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,healthy eating,5,photo,negative,,,25-05-2021,5,2138,,,,,,,,,,,,,,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,healthy eating,50,photo,positive,,,15-03-2021,3,2012,,,,,,,,,,,,,,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,healthy eating,65,photo,positive,,,05-05-2021,5,2138,,,,,,,,,,,,,,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,healthy eating,65,photo,positive,,,31-08-2020,8,2114,,,,,,,,,,,,,,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,healthy eating,60,photo,positive,,,16-06-2021,6,2021,,,,,,,,,,,,,,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,healthy eating,20,photo,neutral,,,07-07-2020,7,2070,,,,,,,,,,,,,,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,healthy eating,35,photo,neutral,,,20-08-2020,8,2114,,,,,,,,,,,,,,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,healthy eating,65,photo,positive,,,23-09-2020,9,2022,,,,,,,,,,,,,,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,healthy eating,50,photo,positive,,,24-03-2021,3,2012,,,,,,,,,,,,,,,,
60,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,healthy eating,5,photo,negative,,,07-12-2020,12,2092,,,,,,,,,,,,,,,,
61,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,healthy eating,75,photo,positive,,,03-08-2020,8,2114,,,,,,,,,,,,,,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,healthy eating,72,photo,positive,,,10-01-2021,1,2126,,,,,,,,,,,,,,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,healthy eating,15,photo,negative,,,20-09-2020,9,2022,,,,,,,,,,,,,,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,healthy eating,70,photo,positive,,,20-07-2020,7,2070,,,,,,,,,,,,,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,healthy eating,72,photo,positive,,,24-10-2020,10,2056,,,,,,,,,,,,,,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,healthy eating,30,photo,positive,,,06-06-2021,6,2021,,,,,,,,,,,,,,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,healthy eating,60,photo,positive,,,25-12-2020,12,2092,,,,,,,,,,,,,,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,healthy eating,50,photo,positive,,,14-06-2021,6,2021,,,,,,,,,,,,,,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,healthy eating,50,photo,positive,,,05-06-2021,6,2021,,,,,,,,,,,,,,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,healthy eating,5,photo,negative,,,18-11-2020,11,2034,,,,,,,,,,,,,,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,healthy eating,30,photo,positive,,,09-05-2021,5,2138,,,,,,,,,,,,,,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,healthy eating,10,photo,negative,,,11-05-2021,5,2138,,,,,,,,,,,,,,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,healthy eating,35,photo,neutral,,,12-11-2020,11,2034,,,,,,,,,,,,,,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,healthy eating,60,photo,positive,,,21-06-2020,6,2021,,,,,,,,,,,,,,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,healthy eating,75,photo,positive,,,04-03-2021,3,2012,,,,,,,,,,,,,,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,healthy eating,70,photo,positive,,,09-07-2020,7,2070,,,,,,,,,,,,,,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,healthy eating,5,photo,negative,,,01-08-2020,8,2114,,,,,,,,,,,,,,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,healthy eating,10,photo,negative,,,23-11-2020,11,2034,,,,,,,,,,,,,,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,healthy eating,15,photo,negative,,,11-12-2020,12,2092,,,,,,,,,,,,,,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,healthy eating,10,photo,negative,,,23-04-2021,4,1974,,,,,,,,,,,,,,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,healthy eating,70,photo,positive,,,13-11-2020,11,2034,,,,,,,,,,,,,,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,healthy eating,30,photo,positive,,,09-06-2021,6,2021,,,,,,,,,,,,,,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,healthy eating,65,photo,positive,,,29-10-2020,10,2056,,,,,,,,,,,,,,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,healthy eating,60,photo,positive,,,14-05-2021,5,2138,,,,,,,,,,,,,,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,healthy eating,0,photo,negative,,,04-08-2020,8,2114,,,,,,,,,,,,,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,healthy eating,72,photo,positive,,,07-08-2020,8,2114,,,,,,,,,,,,,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,healthy eating,72,photo,positive,,,23-10-2020,10,2056,,,,,,,,,,,,,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,healthy eating,72,photo,positive,,,14-11-2020,11,2034,,,,,,,,,,,,,,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,healthy eating,12,photo,negative,,,04-08-2020,8,2114,,,,,,,,,,,,,,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,healthy eating,30,photo,positive,,,12-11-2020,11,2034,,,,,,,,,,,,,,,,
91,356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,technology,12,photo,negative,,,03-04-2021,4,1974,,,,,,,,,,,,,,,,
92,356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,technology,70,photo,positive,,,27-09-2020,9,2022,,,,,,,,,,,,,,,,
93,356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,technology,60,photo,positive,,,27-10-2020,10,2056,,,,,,,,,,,,,,,,
94,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,technology,15,photo,negative,,,15-10-2020,10,2056,,,,,,,,,,,,,,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,technology,60,photo,positive,,,07-05-2021,5,2138,,,,,,,,,,,,,,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,technology,5,photo,negative,,,16-09-2020,9,2022,,,,,,,,,,,,,,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,technology,20,photo,neutral,,,29-10-2020,10,2056,,,,,,,,,,,,,,,,
98,01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,food,15,video,negative,,,24-05-2021,5,2138,,,,,,,,,,,,,,,,
99,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,cooking,30,GIF,positive,,,25-02-2021,2,1914,,,,,,,,,,,,,,,,
100,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,cooking,5,GIF,negative,,,02-05-2021,5,2138,,,,,,,,,,,,,,,,
101,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,cooking,70,GIF,positive,,,28-01-2021,1,2126,,,,,,,,,,,,,,,,
102,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,cooking,35,GIF,neutral,,,15-02-2021,2,1914,,,,,,,,,,,,,,,,
103,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,cooking,10,GIF,negative,,,04-11-2020,11,2034,,,,,,,,,,,,,,,,
104,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,cooking,65,GIF,positive,,,23-06-2020,6,2021,,,,,,,,,,,,,,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,16-02-2021 04:01,cooking,70,GIF,positive,,,16-02-2021,2,1914,,,,,,,,,,,,,,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,03-01-2021 08:44,cooking,30,GIF,positive,,,03-01-2021,1,2126,,,,,,,,,,,,,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,cooking,72,GIF,positive,,,25-11-2020,11,2034,,,,,,,,,,,,,,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,03-12-2020 16:47,cooking,50,GIF,positive,,,03-12-2020,12,2092,,,,,,,,,,,,,,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,22-05-2021 21:03,cooking,50,GIF,positive,,,22-05-2021,5,2138,,,,,,,,,,,,,,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,18-01-2021 13:39,cooking,70,GIF,positive,,,18-01-2021,1,2126,,,,,,,,,,,,,,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,06-01-2021 00:35,cooking,20,GIF,neutral,,,06-01-2021,1,2126,,,,,,,,,,,,,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,cooking,72,GIF,positive,,,14-05-2021,5,2138,,,,,,,,,,,,,,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,27-05-2021 15:21,cooking,12,GIF,negative,,,27-05-2021,5,2138,,,,,,,,,,,,,,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,21-07-2020 02:12,cooking,35,GIF,neutral,,,21-07-2020,7,2070,,,,,,,,,,,,,,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,26-05-2021 06:09,cooking,10,GIF,negative,,,26-05-2021,5,2138,,,,,,,,,,,,,,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,25-02-2021 03:16,cooking,10,GIF,negative,,,25-02-2021,2,1914,,,,,,,,,,,,,,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,07-12-2020 22:50,cooking,45,GIF,positive,,,07-12-2020,12,2092,,,,,,,,,,,,,,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,24-10-2020 14:06,cooking,20,GIF,neutral,,,24-10-2020,10,2056,,,,,,,,,,,,,,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,01-09-2020 21:18,cooking,35,GIF,neutral,,,01-09-2020,9,2022,,,,,,,,,,,,,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,cooking,72,GIF,positive,,,10-05-2021,5,2138,,,,,,,,,,,,,,,,
121,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,12-02-2021 16:37,dogs,70,video,positive,,,12-02-2021,2,1914,,,,,,,,,,,,,,,,
122,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,28-04-2021 15:22,dogs,60,video,positive,,,28-04-2021,4,1974,,,,,,,,,,,,,,,,
123,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,24-01-2021 00:38,dogs,45,video,positive,,,24-01-2021,1,2126,,,,,,,,,,,,,,,,
124,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,18-03-2021 01:53,dogs,12,video,negative,,,18-03-2021,3,2012,,,,,,,,,,,,,,,,
125,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,14-01-2021 07:21,dogs,0,video,negative,,,14-01-2021,1,2126,,,,,,,,,,,,,,,,
126,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,23-12-2020 04:11,dogs,60,video,positive,,,23-12-2020,12,2092,,,,,,,,,,,,,,,,
127,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,21-05-2021 07:23,dogs,5,video,negative,,,21-05-2021,5,2138,,,,,,,,,,,,,,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,like,28-03-2021 23:25,dogs,50,video,positive,,,28-03-2021,3,2012,,,,,,,,,,,,,,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,16-09-2020 07:33,dogs,35,video,neutral,,,16-09-2020,9,2022,,,,,,,,,,,,,,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,08-11-2020 10:53,dogs,20,video,neutral,,,08-11-2020,11,2034,,,,,,,,,,,,,,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,06-03-2021 05:23,dogs,60,video,positive,,,06-03-2021,3,2012,,,,,,,,,,,,,,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,13-01-2021 23:35,dogs,0,video,negative,,,13-01-2021,1,2126,,,,,,,,,,,,,,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,want,06-09-2020 22:35,dogs,70,video,positive,,,06-09-2020,9,2022,,,,,,,,,,,,,,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,24-06-2020 09:31,dogs,30,video,positive,,,24-06-2020,6,2021,,,,,,,,,,,,,,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,07-02-2021 21:39,dogs,5,video,negative,,,07-02-2021,2,1914,,,,,,,,,,,,,,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,21-01-2021 18:28,dogs,45,video,positive,,,21-01-2021,1,2126,,,,,,,,,,,,,,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,27-02-2021 00:21,dogs,10,video,negative,,,27-02-2021,2,1914,,,,,,,,,,,,,,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,22-08-2020 12:06,dogs,12,video,negative,,,22-08-2020,8,2114,,,,,,,,,,,,,,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,03-08-2020 06:29,dogs,70,video,positive,,,03-08-2020,8,2114,,,,,,,,,,,,,,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-08-2020 06:20,dogs,15,video,negative,,,02-08-2020,8,2114,,,,,,,,,,,,,,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,want,04-06-2021 04:57,dogs,70,video,positive,,,04-06-2021,6,2021,,,,,,,,,,,,,,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,21-10-2020 09:07,dogs,75,video,positive,,,21-10-2020,10,2056,,,,,,,,,,,,,,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,26-12-2020 19:46,dogs,10,video,negative,,,26-12-2020,12,2092,,,,,,,,,,,,,,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,02-03-2021 22:47,dogs,15,video,negative,,,02-03-2021,3,2012,,,,,,,,,,,,,,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,31-03-2021 09:48,dogs,20,video,neutral,,,31-03-2021,3,2012,,,,,,,,,,,,,,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,14-06-2021 13:44,dogs,30,video,positive,,,14-06-2021,6,2021,,,,,,,,,,,,,,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,27-12-2020 17:04,dogs,15,video,negative,,,27-12-2020,12,2092,,,,,,,,,,,,,,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,11-02-2021 03:51,dogs,15,video,negative,,,11-02-2021,2,1914,,,,,,,,,,,,,,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,07-12-2020 19:07,dogs,30,video,positive,,,07-12-2020,12,2092,,,,,,,,,,,,,,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,28-12-2020 08:31,dogs,30,video,positive,,,28-12-2020,12,2092,,,,,,,,,,,,,,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,26-10-2020 05:27,dogs,30,video,positive,,,26-10-2020,10,2056,,,,,,,,,,,,,,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,26-09-2020 18:43,dogs,12,video,negative,,,26-09-2020,9,2022,,,,,,,,,,,,,,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,25-11-2020 13:01,dogs,15,video,negative,,,25-11-2020,11,2034,,,,,,,,,,,,,,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,11-07-2020 05:51,dogs,60,video,positive,,,11-07-2020,7,2070,,,,,,,,,,,,,,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,19-03-2021 16:23,dogs,60,video,positive,,,19-03-2021,3,2012,,,,,,,,,,,,,,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,11-10-2020 18:31,dogs,30,video,positive,,,11-10-2020,10,2056,,,,,,,,,,,,,,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,02-11-2020 20:15,dogs,60,video,positive,,,02-11-2020,11,2034,,,,,,,,,,,,,,,,
